title,abstract,bodytext
Systematic Review of the Registered Clinical Trials of Coronavirus Diseases 2019 (COVID-19),"Background: Since the outbreak of coronavirus diseases 2019 (COVID-19), many researchers in China have immediately carried out clinical research scheme of the COVID-19. But, there is still a lack of systematic review of registered clinical trials. Therefore, we made the first systematic review of the clinical trials of COVID-19 in order to provide evidence for the control of the COVID-19. Methods: The database from the Chinese Clinical Registration Center and the ClinicalTrials.gov were searched to collect the registered clinical trials of COVID-19. The retrieval inception date is February 9, 2020. Two evaluators independently selected literature, extracted data and evaluated the risk of bias. This study is based on the recommendations of PRISMA in Cochrane handbook. Results: A total of 75 COVID-19 registered clinical trials (63 interventional studies and 12 observational studies) were obtained. 97.3% of clinical trials were initiated by Chinese organizations. Only 11 trials have begun to recruit patients, and all registered clinical trials have not been completed. Most of the trials are early clinical exploratory trials or in pre-experiment stage (only two trials of Remdesivir in Ⅲ stage), and the sample size of subjects recruited is small. The main intervention methods include traditional Chinese medicine treatment, western medicine treatment and integrated Chinese and Western medicine treatment. The subjects were mainly non severe adult patients (≥ 18 years old). The main outcomes were clinical observation and examination. The duration of most trials was more than 5 months, and the median of the intervention study was 180 d (95% CI: 146.3 -328.9 d); the median of the observation period was 334 d (95% CI: 166.6 -363.4 d). Overall, both the methodology quality of intervention register trials and observational trials are low. Conclusions: Disorderly and intensive clinical trials","This review presented a narrative synthesis. This study mainly analyzed and summarized the types of studies, intervention, host organization and address, sample size, research stage, research status, excepted completion time, inclusion and exclusion criteria, outcome measurement and observation time, methodology quality and describes the results with statistics and characteristics respectively. Nonparametric data was represented by median and 95% CI and the statistical analysis "
Cryo-EM Structure of the 2019-nCoV Spike in the Prefusion Conformation,1,"Based on the reported genome sequence of 2019-nCoV(4), we expressed ectodomain 37 residues 1−1208 of 2019-nCoV S ( Figure 1A, Supplementary Figure 1) , adding two stabilizing 38 proline mutations in the C-terminal S2 fusion machinery based on a previous stabilization 39 strategy which proved highly effective for betacoronavirus S proteins (11, 14) . We obtained 40 roughly 0.5 mg/L of the recombinant prefusion-stabilized S ectodomain from FreeStyle 293 41 cells, and the protein was purified to homogeneity by affinity chromatography and size-exclusion 42 chromatography (Supplementary Figure 1) . Cryo-EM grids were prepared using this purified, 43 fully glycosylated S protein and preliminary screening revealed a high particle density with little 44 aggregation near the edges of the holes. 45"
G-quadruplex forming sequences in the genome of all known human viruses: a comprehensive guide Running title: Presence and conservation of G4s in human viruses,"G-quadruplexes are non-canonical nucleic acid structures that control transcription, replication, and recombination in organisms. G-quadruplexes are present in eukaryotes, prokaryotes, and viruses. In the latter, mounting evidence indicates their key biological activity. Since data on viruses are scattered, we here present a comprehensive analysis of putative G-quadruplexes in the genome of all known viruses that can infect humans. We show that the presence, distribution, and location of G-quadruplexes are features characteristic of each virus class and family. Our statistical analysis proves that their presence within the viral genome is orderly arranged, as indicated by the possibility to correctly assign up to two-thirds of viruses to their exact class based on the G-quadruplex classification. For each virus we provide: i) the list of all G-quadruplexes formed by GG-, GGG-and GGGG-islands present in the genome (positive and negative strands), ii) their position in the viral genome along with the known function of that region, iii) the degree of conservation among strains of each G-quadruplex in its genome context, iv) the statistical significance of G-quadruplex formation. This information is accessible from a database","G-quadruplexes (G4s) are nucleic acids secondary structures that may form in singlestranded DNA and RNA G-rich sequences under physiological conditions (Lipps and Rhodes 2009 ). Four Gs bind via Hoogsteen-type base-pairing to yield G-quartets: stacking of at least two G-quartets leads to G4 formation, through π-π interactions between aromatic systems of G-quartets. K + cations in the central cavity relieve repulsion among oxygen atoms and specifically support G4 formation and stability (Sen and Gilbert 1990) . In the human genome, putative DNA G4 forming regions are clustered at definite genomic regions, such as telomeres, oncogene promoters, immunoglobulin switch regions, DNA replication origins and recombination sites (Maizels and Gray 2013) . Actual G4s were shown to be involved in key regulatory roles, including transcriptional regulation of gene promoters and enhancers, translation, chromatin epigenetic regulation, and DNA recombination (Perrone et al. 2013a; Holder and Hartig 2014; Maizels 2015; Rhodes and Lipps 2015; Zhou et al. 2015) ."
LY6E impairs coronavirus fusion and confers immune control of viral disease,"Zoonotic coronaviruses (CoVs) are significant threats to global health, as exemplified by the recent emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 1 . Host immune responses to CoV are complex and regulated in part through antiviral interferons.","4 hepatoma cells was largely specific to CoV. Among 10 genetically divergent viruses tested, only hepatitis C virus was also restricted (Extended Data Fig. 1f )."
"Title: The Novel Coronavirus, 2019-nCoV, is Highly Contagious and More Infectious Than Initially Estimated","124 Main text including references and figure captions: 3,945 All rights reserved. No reuse allowed without permission. author/funder, who has granted medRxiv a license to display the preprint in perpetuity.","real-time domestic travel data in China. Third, to address the issue of potential data collection and methodological bias or incomplete control of confounding variables, we implemented two distinct modeling approaches using different sets of data. These analyses produced estimates of the exponential growth rates that are consistent with one another and higher than previous estimates."
A Mac2-positive progenitor-like microglial population survives independent of CSF1R signaling in adult mouse brain,10,"Microglia are the primary innate immune cells in the CNS, capable of mounting inflammatory 29 responses and phagocytosis. They can be distinguished from other CNS cell types by the 30 distinctive ramified morphology and expression of common myeloid markers including Cd11b 31 and ionized calcium binding adaptor molecule 1 (Iba1). In addition to immune functions, microglia 32 carry out a multitude of neurotrophic functions during CNS development and homeostasis 33 (Kierdorf and Prinz, 2017) . Microglia also play critical pathological roles in a wide spectrum of 34 neurodegenerative conditions, including Alzheimer's disease, Parkinson's disease, Huntington's 35 disease, and Amyotrophic lateral sclerosis (Hickman et al., 2018) . A number of disease genes were 36 found to be highly expressed in microglia (Hansen et (Haynes et al., 2006) . Interestingly, 51"
Clinical Data on Hospital Environmental Hygiene Monitoring and Medical Staff Protection during the Coronavirus Disease 2019 2 Outbreak,46,"The outbreak of COVID-19 in Wuhan in December 2019 has led to a serious public 69 health event [1] [2] [3] . Meanwhile, the outbreak of this novel virus has placed 70 unprecedented challenges on hospital environmental hygiene. The occurrence of 71 medical staff-associated infections is closely related to long-lived pathogens in the 72 hospital environment [4, 5] . Thus, it is crucial to assess hospital environmental hygiene 73 to understand the most important environmental issues for controlling the spread of 74 COVID-19 in hospitals. The Chinese government quickly adopted quarantine 75 measures for confirmed and suspected patients to restrain the spread of the 76 pandemic [6] . Comprehensive monitoring of hospital environmental hygiene during the 77 outbreak of the pandemic is conducive to the refinement of hospital infection control 78 [5, 7] . It also increases understanding of the environmental challenges corresponding to 79 the reemergence of COVID-19 or similar viruses. Therefore, it is of great significance 80 to ensure the safety of medical treatment and the quality of hospital infection control 81 through the monitoring of environmental hygiene. According to a report from the The environmental monitoring methods referenced the hospital sanitation standards 106 (GB15982-2012). All air was collected by two methods: natural sedimentation [9] and 107 . CC-BY-NC-ND 4.0 International license It is made available under a is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity."
The RZZ complex integrates spindle checkpoint maintenance with dynamic expansion of unattached kinetochores,"The Mad1-Mad2 heterodimer is the catalytic hub of the spindle assembly checkpoint (SAC), which controls mitosis through assembly of a multi-subunit anaphase inhibitor, the mitotic checkpoint complex (MCC) [1, 2] . Mad1-Mad2 first catalyzes MCC assembly at interphase nuclear pores [3] , then migrates to kinetochores at nuclear envelope breakdown (NEBD) and resumes MCC assembly until bipolar spindle attachment is complete [1, 2] . There is significant debate about the factor(s) involved in targeting Mad1-Mad2 to kinetochores in higher eukaryotes [4] [5] [6] [7] [8] [9] . Through gene editing and livecell imaging, we found that the human Rod-Zw10-Zwilch (RZZ) complex is dispensable for cell viability and initial recruitment of Mad1-Mad2 to kinetochores at NEBD, but then becomes necessary to tether Mad1-Mad2 at kinetochores and sustain SAC arrest in cells challenged with spindle poisons. We also show that RZZ forms the mesh-like fibrous corona, a structural expansion of the outer kinetochore important for timely chromosome congression [10-13] once Mps1 phosphorylates the N-terminus of Rod.","Basal mitotic timing was longer and more heterogeneous in RZZ-deficient cells ( Fig.   2A ), suggesting a delay in bipolar attachment and SAC satisfaction. Consistently, KNTC1-null cells rapidly exited mitosis when the SAC kinase Mps1 was inhibited with reversine ( Fig. 2A) . To monitor mitotic chromosome dynamics and SAC signaling, we expressed and imaged H2B-mCherry and FLAP-Mad1 using spinning disk confocal microscopy. At NEBD Mad1 immediately localized at nascent kinetochores, then dissociated as chromosomes congressed at the metaphase plate ( Fig. 2B ; n=10 cells). Congression was less efficient in KNTC-null cells, consistent with the lack of Spindly and dynein at kinetochores ( [17] and Fig. S2 ), with small numbers of Mad1positive chromosomes temporarily at the spindle poles ( Fig. 2C; n=14 cells) . We conclude that RZZ accelerates (but is not strictly required for) chromosome biorientation."
CORONAVIRUS IN PREGNANCY AND DELIVERY: RAPID REVIEW AND EXPERT CONSENSUS,"BACKGROUND Person to person spread of COIVD-19 in the UK has now been confirmed. There are limited case series reporting the impact on women affected by coronaviruses (CoV) during pregnancy. In women affected by SARS and MERS, the case fatality rate appeared higher in women affected in pregnancy compared with non-pregnant women. We conducted a rapid, review to guide management of women affected by COVID -19 during pregnancy and developed interim practice guidance with the RCOG and RCPCH to inform maternity and neonatal service planning METHODS Searches were conducted in PubMed and MedRxiv to identify primary case reports, case series, observational studies or randomised-controlled trial describing women affected by coronavirus in pregnancy and on neonates. Data was extracted from relevant papers and the review was drafted with representatives of the RCPCH and RCOG who also provided expert consensus on areas where data were lacking RESULTS From 9964 results on PubMed and 600 on MedRxiv, 18 relevant studies (case reports and case series) were identified. There was inconsistent reporting of maternal, perinatal and neonatal outcomes across case reports and series concerning COVID-19, SARS, MERS and other coronaviruses. From reports of 19 women to date affected by COVID-19 in pregnancy, delivering 20 babies, 3 (16%) were asymptomatic, 1 (5%) was admitted to ICU and no maternal deaths have been reported. Deliveries were 17 by caesarean section, 2 by vaginal delivery, 8 (42%) delivered pre-term. There was one neonatal death, in 15 babies who were tested there was no evidence of vertical transmission.","METHODS Searches were conducted in PubMed and MedRxiv, see appendix for search strategies, to identify primary case reports, case series or randomised-controlled trial describing women of any age affected by coronavirus in pregnancy or the postnatal period. There were no date or language restrictions to the search. References of relevant papers were hand searched for relevant studies."
Beware of asymptomatic transmission: Study on 2019-nCoV prevention and control measures based on extended SEIR model,"This study builds a SEIRD model that considers the movement of people across regions, revealing the effects of three measures on controlling the spread of the epidemic.Based on MATLAB R2017a, computational experiments were performed to simulate the epidemic prevention and control measures.","The 2019 new coronavirus, ""2019-nCoV"", was discovered from Wuhan Viral Pneumonia cases in December 2019, and was named by the World Health Organization on January 12, 2020. In the early stage, people knows little about the 2019-nCoV virus was not clear, and the spread period was encountering China's annual spring migration, which made the epidemic spread rapidly from Wuhan to almost all provinces in China."
The infant airway microbiome in health and disease impacts later asthma development,"The nasopharynx (NP) is a reservoir for microbes associated with acute respiratory illnesses (ARI). The development of asthma is initiated during infancy, driven by airway inflammation associated with infections. Here, we report viral and bacterial community profiling of NP aspirates across a birth cohort, capturing all lower respiratory illnesses during their first year. Most infants were initially colonized with Staphylococcus or Corynebacterium before stable colonization with Alloiococcus or Moraxella, with transient incursions of Streptococcus, Moraxella or Haemophilus marking virus-associated ARIs. Our data identify the NP microbiome as a determinant for infection spread to the lower airways, severity of accompanying inflammatory symptoms, and risk for future asthma development. Early asymptomatic colonization with Streptococcus was a strong asthma predictor, and antibiotic usage disrupted asymptomatic colonization patterns. doi: bioRxiv preprint (154/782) of recorded episodes of upper respiratory illness (URI). The characteristics of the infants are summarized in Table S1 .","The microbial communities comprising the human microbiome are now recognised as playing important roles in the aetiology and pathogenesis of myriad diseases (1) . However elucidation of these complex roles requires targeted characterization of microbial communities present in relevant spatial niche(s) during critical periods of pathogenesis. The focus of this study is the respiratory tract, in particular the nasopharynx (NP) which is an accessible source of airway microbial communities (2) and serves as a conduit for pathogens associated with lower respiratory illnesses (LRI) that are responsible for substantial morbidity and mortality worldwide."
Evaluating the accuracy of different respiratory specimens in the laboratory diagnosis and monitoring the viral shedding of 2019-nCoV infections,1,ABSTRACT: 1 
Title: Feasibility of controlling 2019-nCoV outbreaks by isolation of cases and contacts,To assess the viability of isolation and contact tracing to control onwards transmission from imported cases of 2019-nCoV.,"Evidence before this study Contact tracing and isolation of cases is a commonly used intervention for controlling infectious disease outbreaks. This intervention can be effective, but may require intensive public health effort and cooperation to effectively reach and monitor all contacts. When the pathogen has infectiousness before symptom onset, control of outbreaks using contact tracing and isolation is more challenging."
Kin and group selection are both flawed but useful data analysis tools,"For understanding the evolution of social behavior in microbes, mathematical theory can aid empirical research but is often only used as a qualitative heuristic. How to properly formulate social evolution theory has also been contentious. Here we evaluate kin and multilevel selection theory as tools for analyzing microbial data. We reanalyze published datasets that share a common exper-5 imental design and evaluate these theories in terms of data visualization, statistical performance, biological interpretation, and quantitative comparison across systems. We find that the canonical formulations of both kin and multilevel selection are almost always poor analytical tools because they use statistical regressions that are poorly specified for the strong selection and nonadditive fitness effects common in microbial systems. Analyzing both individual and group fitness outcomes 10 helps clarify the biology of selection. We also identify analytical practices in empirical research that suggest how theory might better handle the challenges of microbial data. A quantitative, data-driven approach thus shows how kin and multilevel selection theory both have substantial room for improvement as tools for understanding social evolution in all branches of life.","For biologists seeking to understand the evolution of cooperation and social behavior, mathematical theory has been a valuable guide for empirical research. Kin selection theory, for example, has been enormously influential in part because it shows that social evolution can be understood from just a few important quantities: how a behavior affects the fitness of an actor, how that behavior affects the fitness of other individuals, and the genetic relatedness between social partners [1, 2] . This theory 20 was developed with a major focus on animal behavior, so its mathematical form was developed in terms of the quantitative-genetic phenotypes most easily measured in animal systems [3] . Similarly, evolutionarily stable strategy (ESS) models of kin selection were formulated to facilitate predictions and empirical tests using comparative data [4] with substantial success [5, 6, 7] ."
Trypsin treatment unlocks barrier for zoonotic coronaviruses infection. Running Title: Trypsin unlocks barrier for zoonotic CoV infection,"Traditionally, the emergence of coronaviruses (CoVs) has been attributed to a gain in receptor 2 binding in a new host. Our previous work with SARS-like viruses argued that bats already 3 harbor CoVs with the ability to infect humans without adaptation. These results suggested that 4 additional barriers limit the emergence of zoonotic CoV. In this work, we describe overcoming 5 host restriction of two MERS-like bat CoVs using exogenous protease treatment. We found that 6 the spike protein of PDF2180-CoV, a MERS-like virus found in a Ugandan bat, could mediate 7 infection of Vero and human cells in the presence of exogenous trypsin. We subsequently show 8 that the bat virus spike can mediate infection of human gut cells, but is unable to infect human 9 lung cells. Using receptor-blocking antibodies, we show that infection with the PDF2180 spike 10 does not require MERS-CoV receptor DPP4 and antibodies developed against the MERS spike 11 receptor-binding domain and S2 portion are ineffective in neutralizing the PDF2180 chimera.","Since the beginning of the 21 st century, public health infrastructures have been required 28 to periodically respond to new and reemerging zoonotic viral diseases, including influenza, 29 Ebola, and Zika virus outbreaks (1). Severe acute respiratory syndrome coronavirus (SARS- "
A data-driven assessment of early travel restrictions related to the spreading of the novel COVID-19 within mainland China,"Two months after it was firstly reported, the novel coronavirus disease COVID-19 has already spread worldwide. However, the vast majority of reported infections have occurred in China. To assess the effect of early travel restrictions adopted by the health authorities in China, we have implemented an epidemic metapopulation model that is fed with mobility data corresponding to 2019 and 2020. This allows to compare two radically different scenarios, one with no travel restrictions and another in which mobility is reduced by a travel ban. Our findings indicate that i) travel restrictions are an effective measure in the short term, however, ii) they are ineffective when it comes to completely eliminate the disease. The latter is due to the impossibility of removing the risk of seeding the disease to other regions. Our study also highlights the importance of developing more realistic models of behavioral changes when a disease outbreak is unfolding.","In Dec. 31st, 2019, Chinese authorities reported an outbreak of a novel coronavirus disease, called COVID-19 by the World Health Organization. Due to the proximity of the Spring Festival, the Chinese Government implemented quarantine in Wuhan, where the outbreak started, as well as in several nearby cities since Jan. 23rd, 2020. As of Feb. 16th the outbreak is still growing and has already infected 68,584 individuals in China of which 1,666 have died [1] . Much is still unknown about the characteristics of this pathogen. For instance, it remains unclear the animal source of this zoonotic disease, being bats and pangolins currently the two most likely sources [2] [3] [4] . It has also been proposed that more than half of the cases might have gone undetected by routinely screening passengers, due to the special characteristics of this disease [5] , which makes it possible that infected individuals are asymptomatic while infectious."
Structure-Guided Mutagenesis Alters Deubiquitinating Activity 2 and Attenuates Pathogenesis of a Murine Coronavirus,"Coronaviruses express a multifunctional papain-like protease, termed PLP2. PLP2 acts as 17 a protease that cleaves the viral replicase polyprotein, and a deubiquitinating (DUB) enzyme which 18 removes ubiquitin moieties from ubiquitin-conjugated proteins. Previous in vitro studies 19 implicated PLP2 DUB activity as a negative regulator of the host interferon (IFN) response, but 20 the role of DUB activity during virus infection was unknown. Here, we used X-ray structure-21 guided mutagenesis and functional studies to identify amino acid substitutions within the 22 ubiquitin-binding surface of PLP2 that reduced DUB activity without affecting polyprotein 23 processing activity. We engineered a DUB mutation (Asp1772 to Ala) into a murine coronavirus 24 and evaluated the replication and pathogenesis of the DUB mutant virus (DUBmut) in cultured 25 macrophages and in mice. We found that the DUBmut virus replicates similarly as the wild-type 26 virus in cultured cells, but the DUBmut virus activates an IFN response at earlier times compared 27 to the wild-type virus infection in macrophages, consistent with DUB activity negatively 28 regulating the IFN response. We compared the pathogenesis of the DUBmut virus to the wild-type 29 virus and found that the DUBmut-infected mice had a statistically significant reduction (p<0.05) 30 in viral titer in livers and spleens at day 5 post-infection, albeit both wild-type and DUBmut virus 31 infections resulted in similar liver pathology. Overall, this study demonstrates that structure-guided 32 mutagenesis aids the identification of critical determinants of PLP2-ubiquitin complex, and that 33 PLP2 DUB activity plays a role as an interferon antagonist in coronavirus pathogenesis.","Since one of the primary goals of this study is to understand the contribution of DUB 118 activity to viral replication and pathogenesis, we next focused on quantitating further the effects 119 of the D1772A mutant on the steady-state kinetic parameters of MHV PLP2 toward the three 120 different substrates (Fig. 2B) . The RLRGG-AMC peptide substrate is often used as surrogate of 121 the viral polyprotein substrate and the kinetic data in Fig. 2B show that this substrate is still well-122 recognized and cleaved by the D1772A mutant. In fact, we observed a small rate enhancement in 123 the catalytic efficiency (i.e., kcat/Km) compared to the wild-type enzyme."
"Community responses during the early phase of the COVID-19 epidemic in Hong Kong: risk 1 perception, information exposure and preventive measures 2 3 Background: Community responses are important for outbreak management during the early phase","17 18 Background: Community responses are important for outbreak management during the early phase 19 when non-pharmaceutical interventions are the major preventive options. Therefore, this study aims to 20 examine the psychological and behavioral responses of the community during the early phase of the 21 COVID-19 epidemic in Hong Kong.","On 12 January 2020, the World Health Organization (WHO) declared the novel coronavirus which 54 caused unknown pneumonia cases in Wuhan, Hubei Province, China since December 2019 as ""2019-55 nCoV"", which was renamed by the International Committee on Taxonomy of Viruses as ""SARS-CoV-2"" 56 on 11 February 2020. In parallel, the WHO formally named the disease caused by SARS-CoV-2 as 57 ""COVID-19"", short for Coronavirus Disease 2019. Back in late December 2019, a cluster of 27 58 pneumonia cases associated with SARS-CoV-2 with a common link to the Huanan Seafood Wholesale 59 Market were reported [1] , and the first death case attributable to SARS-CoV-2 occurred on 9 January 60 2020. Soon after the first global incidence was confirmed in Thailand on 12 January 2020, new cases 61 were reported in different countries and were mostly associated with Wuhan travel history or residency. To control this COVID-19 epidemic, much effort has been paid to identifying the etiological agent, 77 epidemiological parameters such as incubation period [4] , disease transmissibility [4, 5] , clinical 78 . CC-BY-NC-ND 4.0 International license It is made available under a author/funder, who has granted medRxiv a license to display the preprint in perpetuity."
Identification of peptide coatings that enhance diffusive transport of nanoparticles through the tumor microenvironment,"In solid tumors, increasing drug penetration promotes their regression and improves the therapeutic index of compounds. However, the heterogeneous extracellular matrix (ECM) acts a steric and interaction barrier that hinders effective transport of therapeutics, including nanomedicines. Specifically, the interactions between the ECM and surface physicochemical properties of nanomedicines (e.g. charge, hydrophobicity) impedes their diffusion and penetration.",significantly higher diffusive transport of phage than negative control through in vitro tumor ECM.
Mycroft-West et al. (2020) Running title: SARS-CoV-2 surface S1 Receptor Binding Domain binds heparin The 2019 coronavirus (SARS-CoV-2) surface protein (Spike) S1 Receptor Binding Domain undergoes conformational change upon heparin binding,"Many pathogens take advantage of the dependence of the host on the interaction of hundreds of extracellular proteins with the glycosaminoglycans heparan sulfate to regulate homeostasis and use heparan sulfate as a means to adhere and gain access to cells. Moreover, mucosal epithelia such as that of the respiratory tract are protected by a layer of mucin polysaccharides, which are usually sulfated. Consequently, the polydisperse, natural products of heparan sulfate and the allied polysaccharide, heparin have been found to be involved and prevent infection by a range of viruses including S-associated coronavirus strain HSR1. Here we use surface plasmon resonance and circular dichroism to measure the interaction between the SARS-CoV-2 Spike S1 protein receptor binding domain (SARS-CoV-2 S1 RBD) and heparin. The data demonstrate an interaction between the recombinant surface receptor binding domain and the polysaccharide. This has implications for the rapid development of a first-line therapeutic by repurposing heparin and for next-generation, tailor-made, GAG-based antivirals.","Heparin, the second most widely used drug by weight globally, is formulated as a polydisperse, heterogenous natural product. Unfractionated heparin, low molecular weight heparins and heparinoids are clinically approved as anticoagulants / thrombotic with excellent safety, stability, bioavailability and pharmacokinetic profiles. Crucially, heparin and its derivatives, some of which lacking significant anticoagulant activity 1 , are an under-exploited antiviral drug class, despite possessing broad-spectrum activity against a multitude of distinct viruses, including coronaviridae and SARSassociated coronavirus strain HSR1 2 , in addition to flaviviruses 3, 4 , herpes 5 , influenza 6 and HIV 7, 8 ."
Prognostic value of NT-proBNP in patients with severe COVID-19,"The outbreak of coronavirus disease 2019 caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in China has been declared a public health emergency of international concern. The cardiac injury was dominate in the process. However, whether N terminal pro B type natriuretic peptide (NT-proBNP) predicted outcome of COVID-19 patients was unknown. The study initially enrolled 102 patients with severe COVID-19 pneumonia from a continuous sample. After screening out the ineligible cases, 54 patients were analyzed in this study. Results found that patients with higher NT-proBNP (above 88.64 pg/mL) level had more risks of inhospital death. After adjusting for potential cofounders in separate modes, NT-proBNP presented as an independent risk factor of in-hospital death in patients with severe COVID-19. : medRxiv preprint Figure 1. The NT-proBNP for in-hospital death of coronavirus disease 2019 (COVID-19) by receiver operating characteristic (ROC) curves. The area under the curve (AUC) of NT-proBNP was 0.909. The best cutoff of NT-proBNP for prediction in-hospital death was 88.64 pg/mL with the sensitivity of 100% and the specificity of 66.67%. 95%CI, 95% confidence interval. All rights reserved. No reuse allowed without permission.","The outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in China has been declared a public health emergency of international concern 1 . Despite lower mortality rate, SARS-CoV-2 has killed more people than SARS and MERS and the number keeps growing 2 ."
